time, px, py, pz, qw, qx, qy, qz
5636.403596756999832, -0.0159963, 0.0200564, -0.0297023, 0.00105285, 0.6976, -0.716358, -0.0135879
5636.4369130909999512, -0.0111284, 0.0205762, -0.0296076, 0.00362771, 0.698082, -0.715858, -0.0146893
5636.4702294190001339, -0.00205624, 0.0206123, -0.0282482, 0.00454109, 0.69766, -0.716267, -0.0145575
5636.5035457860003589, 0.00179901, 0.0184735, -0.0277921, 0.00540721, 0.698594, -0.715379, -0.0130467
5636.536862119000034, 0.0011809, 0.0147846, -0.0337711, 0.00676345, 0.701387, -0.712648, -0.0119571
5636.5701784190005128, 0.00174379, 0.0149899, -0.0295992, 0.0065283, 0.700847, -0.713156, -0.0134125
5636.6034952569998495, 0.00153618, 0.0152544, -0.0280535, 0.00666362, 0.70059, -0.713398, -0.0138664
5636.6369610910005576, -0.00369379, 0.0191192, -0.0423608, 0.00444704, 0.704206, -0.709858, -0.013271
5636.6702774570003385, -0.00652521, 0.019779, -0.0437793, 0.00295909, 0.704571, -0.709512, -0.0127779
5636.7035937529999501, -0.00458979, 0.0130658, -0.0301664, 0.00190835, 0.703276, -0.710794, -0.0130539
5636.7369100860005346, -0.00383119, 0.0120515, -0.0330672, 0.00213005, 0.702918, -0.711122, -0.0143994
5636.7702264050003578, -0.00633793, 0.0153251, -0.0406777, 0.00270652, 0.703106, -0.710926, -0.014824
5636.8035427860004347, -0.00999628, 0.0174492, -0.0422741, 0.00231485, 0.70278, -0.71129, -0.0127056
5636.8368591190001098, -0.0246412, 0.032558, -0.0496935, 0.000631312, 0.706659, -0.707511, -0.00777357
5636.8701754189996791, -0.029592, 0.043593, -0.0617513, 0.00188181, 0.708454, -0.705728, -0.00605915
5636.9034918150000522, -0.0381745, 0.0574914, -0.0649828, 0.000292947, 0.712388, -0.701784, -0.00159706
5636.9368081190004887, -0.0450982, 0.0762197, -0.0714367, 0.000417289, 0.717585, -0.696466, 0.0027918
5636.9701244529996984, -0.0449344, 0.0771975, -0.0753882, -0.000791368, 0.719523, -0.694459, 0.00347175
5637.0035907860001316, -0.0446193, 0.0739347, -0.0818651, -0.00264432, 0.719573, -0.694409, 0.0017277
5637.0369070859997009, -0.0442406, 0.0709692, -0.0894998, -0.0026934, 0.71873, -0.695284, -0.000972499
5637.0702234239997779, -0.0448847, 0.0654992, -0.0899619, -0.00226229, 0.717056, -0.697004, -0.00327474
5637.1035397570003624, -0.0444204, 0.0650539, -0.0924132, -0.00244022, 0.716985, -0.697075, -0.00361247
5637.1368561190001856, -0.0450116, 0.0625853, -0.0929095, -0.00318312, 0.720573, -0.693372, -0.00102482
5637.1701724240001568, -0.0500721, 0.060511, -0.0925397, -0.0053221, 0.720518, -0.693415, -0.000131349
5637.2034887859999799, -0.0558895, 0.0577305, -0.0917926, -0.00876145, 0.718475, -0.695497, 0.000732232
5637.2368050909999511, -0.0595961, 0.0535843, -0.0928732, -0.011063, 0.719129, -0.694788, 0.000334258
5637.2701221570005146, -0.0587168, 0.0540106, -0.0938208, -0.0104157, 0.720283, -0.693602, -0.000700022
5637.303437753000253, -0.0624638, 0.0508444, -0.0955255, -0.0125659, 0.721323, -0.692484, -0.00112892
5637.3369040859997767, -0.0657608, 0.0482562, -0.0953187, -0.0133945, 0.721166, -0.692631, -0.00177685
5637.3702203949997056, -0.0666196, 0.0458196, -0.0943461, -0.0127974, 0.720573, -0.693253, -0.00329453
5637.4035367240003325, -0.0660473, 0.0449646, -0.0966151, -0.0137073, 0.721743, -0.691989, -0.00714321
5637.4368530860001556, -0.0639611, 0.0429677, -0.0977156, -0.0142024, 0.722223, -0.691417, -0.0116397
5637.4701694340001268, -0.0619254, 0.0401051, -0.0945332, -0.0149532, 0.722666, -0.690891, -0.0141271
5637.5034857290002037, -0.0608631, 0.0383385, -0.0916621, -0.0155043, 0.722289, -0.691271, -0.0142406
5637.5368021189997307, -0.0610849, 0.036924, -0.0865198, -0.0150798, 0.722304, -0.691314, -0.0116551
5637.5701184760000615, -0.0650674, 0.0357854, -0.0831428, -0.0149534, 0.722067, -0.691594, -0.00963997
5637.6034347860004345, -0.0706474, 0.0345156, -0.0772638, -0.014085, 0.72142, -0.692308, -0.00806426
5637.6367511190001096, -0.0701756, 0.0330205, -0.0729993, -0.0142839, 0.722662, -0.691026, -0.00629747
5637.6700674240000808, -0.0704873, 0.0325721, -0.0708956, -0.0153055, 0.722508, -0.691163, -0.00644004
5637.7035337530005563, -0.0702232, 0.0315397, -0.0704342, -0.0156802, 0.720942, -0.69279, -0.00622898
5637.7368501190003371, -0.070634, 0.0313035, -0.0706493, -0.0156557, 0.720494, -0.69326, -0.00579747
5637.7701664530004564, -0.0710572, 0.0306378, -0.0717797, -0.0152842, 0.717666, -0.696208, -0.0040663
5637.8034827860001315, -0.0697833, 0.0284041, -0.0717217, -0.0168482, 0.717061, -0.696791, -0.00480772
5637.8367991189998065, -0.0712572, 0.0284241, -0.0722012, -0.0182142, 0.71819, -0.695575, -0.00686076
5637.8701154190002853, -0.0758043, 0.0281063, -0.0762709, -0.0151219, 0.717542, -0.696312, -0.0073164
5637.9034317570003623, -0.0763034, 0.0274087, -0.0767626, -0.0111327, 0.715744, -0.698252, -0.00560424
5637.9367480860000796, -0.0775657, 0.0294177, -0.0779066, -0.00783452, 0.715008, -0.69905, -0.00557759
5637.9700644240001566, -0.0788695, 0.0316958, -0.0797314, -0.00574426, 0.714146, -0.699945, -0.00630379
5638.0033807520003393, -0.0766533, 0.0334069, -0.0787526, -0.00369194, 0.714652, -0.699433, -0.00719987
5638.0368471190004129, -0.0786782, 0.0351455, -0.0820652, -0.00387863, 0.712302, -0.701806, -0.00890502
5638.0701634189999822, -0.0768819, 0.0356049, -0.0802659, -0.00144655, 0.710774, -0.703309, -0.0124652
5638.1034797860002072, -0.0767344, 0.0349032, -0.0799024, -0.00101558, 0.710077, -0.703961, -0.0151129
5638.1367960859997766, -0.0764166, 0.0360046, -0.0793039, -0.00176952, 0.707584, -0.706485, -0.014178
5638.1701124520004669, -0.0755122, 0.0393357, -0.0808309, -0.00440701, 0.708912, -0.705165, -0.012901
5638.2034287860005861, -0.0731502, 0.0431741, -0.0834161, -0.00870124, 0.711627, -0.702298, -0.0169687
5638.2367451190002612, -0.0714273, 0.038441, -0.0772847, -0.00857298, 0.713652, -0.700185, -0.0191712
5638.2700614519999363, -0.0741664, 0.0373688, -0.0750348, -0.00924939, 0.713949, -0.69986, -0.0196909
5638.3033777520004151, -0.0778625, 0.0381334, -0.0759748, -0.0106944, 0.71409, -0.699743, -0.0179405
5638.3366940910000267, -0.0839738, 0.0403924, -0.0809629, -0.0107158, 0.714782, -0.699076, -0.0162504
5638.370160419000058, -0.0892807, 0.040816, -0.0825435, -0.0111703, 0.716873, -0.696926, -0.0161788
5638.403476757000135, -0.0935612, 0.0402985, -0.082728, -0.0105104, 0.719995, -0.693657, -0.018375
5638.4367931189999581, -0.0993469, 0.0430708, -0.0861173, -0.00828381, 0.721543, -0.69209, -0.0178823
5638.4701094520005427, -0.103108, 0.0454753, -0.0859136, -0.00837977, 0.722589, -0.691001, -0.017685
5638.5034257859997524, -0.106626, 0.0474525, -0.0871466, -0.00974077, 0.723127, -0.690392, -0.0187466
5638.5367420860002312, -0.108717, 0.0492478, -0.0895583, -0.0100112, 0.723056, -0.690446, -0.0193384
5638.570058452000012, -0.108962, 0.0514219, -0.0916093, -0.0109173, 0.722065, -0.69142, -0.0210133
5638.6033747860001313, -0.108493, 0.0512763, -0.094652, -0.0136945, 0.723391, -0.689952, -0.0220244
5638.6366911189998063, -0.107968, 0.0499644, -0.0948767, -0.0140422, 0.723966, -0.689337, -0.0221605
5638.6700074190002852, -0.107611, 0.0479857, -0.094547, -0.0157044, 0.724769, -0.68845, -0.0223419
5638.7033237900004679, -0.107774, 0.0458825, -0.0959319, -0.0166871, 0.727412, -0.6856, -0.0233576
5638.7367901190000339, -0.107887, 0.046035, -0.0985173, -0.0119973, 0.727942, -0.68514, -0.0232386
5638.770106451999709, -0.108455, 0.0420563, -0.101765, -0.0144374, 0.724838, -0.68834, -0.0242831
5638.8034227520001878, -0.107747, 0.0450473, -0.106245, -0.0109307, 0.725616, -0.687629, -0.022971
5638.8367391190004128, -0.108809, 0.0431836, -0.107208, -0.00777748, 0.727953, -0.685207, -0.022702
5638.8700554520000878, -0.112884, 0.038244, -0.108022, -0.0115196, 0.727358, -0.6858, -0.0222618
5638.9033717860002071, -0.116806, 0.0344459, -0.108581, -0.0155896, 0.726531, -0.686611, -0.0218103
5638.9366880899997341, -0.12091, 0.0313753, -0.107738, -0.0192127, 0.725815, -0.687289, -0.0213715
5638.9700044520004667, -0.124895, 0.0290492, -0.106873, -0.0227859, 0.724465, -0.688642, -0.0200896
5639.003320752000036, -0.125014, 0.0293162, -0.108041, -0.0249715, 0.726814, -0.686088, -0.0200155
5639.036637119000261, -0.124954, 0.0302427, -0.112306, -0.0284659, 0.730042, -0.682466, -0.0216497
5639.070103418999679, -0.124334, 0.031475, -0.116318, -0.0307795, 0.7317, -0.680601, -0.021206
5639.103419785999904, -0.121708, 0.0297772, -0.114773, -0.0306105, 0.732213, -0.680106, -0.0195663
5639.1367361190004885, -0.123793, 0.0279921, -0.10845, -0.028646, 0.730884, -0.681688, -0.0170458
5639.1700530950001848, -0.126253, 0.0265768, -0.103096, -0.0270024, 0.729492, -0.683275, -0.0157243
5639.2033687860002829, -0.127806, 0.0267637, -0.101855, -0.0263555, 0.72915, -0.683703, -0.014022
5639.2366850859998522, -0.128683, 0.0272534, -0.102187, -0.0256245, 0.728499, -0.684443, -0.0130968
5639.2700014520005425, -0.131017, 0.0287098, -0.101759, -0.0247904, 0.727223, -0.685849, -0.0119624
5639.3033177520001118, -0.13062, 0.0279334, -0.103525, -0.0248748, 0.727016, -0.686063, -0.0121237
5639.3366340900001887, -0.130147, 0.0270499, -0.104335, -0.0237099, 0.727105, -0.686021, -0.0114381
5639.369950424000308, -0.13056, 0.0270308, -0.104854, -0.0230123, 0.726551, -0.686646, -0.0105614
5639.4032667860001311, -0.131367, 0.025596, -0.106859, -0.020523, 0.726766, -0.686502, -0.0102598
