time px py pz qx qy qz qw
193426.143485971 0.033801 0.011982 0.062904 -0.095384 -0.074310 -0.061884 0.990732
193426.243584933 0.044334 0.023843 0.058123 -0.100016 -0.075759 -0.072309 0.989459
193426.343533971 0.046505 0.036955 0.048794 -0.095773 -0.071121 -0.069832 0.990400
193426.443482971 0.038653 0.046357 0.038403 -0.102872 -0.051330 -0.057417 0.991709
193426.543581942 0.029398 0.051644 0.029263 -0.104886 -0.048404 -0.042724 0.992386
193426.643530938 0.015820 0.049545 0.019627 -0.110840 -0.039429 -0.025374 0.992732
193426.743479942 0.002558 0.042306 0.014259 -0.110696 -0.024857 -0.010836 0.993484
193426.843428938 -0.008594 0.032417 0.013315 -0.113067 -0.016215 0.000601 0.993455
193426.943527938 -0.016512 0.020697 0.015645 -0.114054 -0.011320 0.007093 0.993385
193427.043476971 -0.018647 0.009437 0.020863 -0.117061 -0.003166 0.005004 0.993107
193427.143425971 -0.012224 0.001265 0.026082 -0.121697 -0.009844 -0.002834 0.992514
193427.243524942 -0.004252 -0.001871 0.034661 -0.117060 -0.013924 -0.014174 0.992926
193427.343473971 0.007474 0.001431 0.040591 -0.106542 -0.007036 -0.034930 0.993670
193427.443422938 0.023359 0.008364 0.043670 -0.100115 -0.020923 -0.052774 0.993355
193427.543371938 0.034211 0.019823 0.046083 -0.093587 -0.025813 -0.062497 0.993312
193427.643470971 0.036712 0.033740 0.042076 -0.085521 -0.017609 -0.059410 0.994408
193427.743419971 0.031437 0.046620 0.032049 -0.092081 -0.007386 -0.050680 0.994434
193427.843368937 0.018997 0.053314 0.022685 -0.105753 -0.008649 -0.034456 0.993758
193427.943467971 0.003181 0.052803 0.015244 -0.110638 0.003079 -0.017045 0.993710
193428.043416971 -0.008816 0.046402 0.012729 -0.112843 0.010853 -0.002882 0.993549
193428.143365942 -0.017709 0.035185 0.012787 -0.116538 0.017588 0.006027 0.993012
193428.243314966 -0.022151 0.025042 0.015819 -0.118462 0.022362 0.009230 0.992664
193428.343413971 -0.024633 0.016173 0.020385 -0.122714 0.024869 0.009580 0.992084
193428.443362975 -0.021132 0.010566 0.023625 -0.130743 0.021552 0.002837 0.991178
193428.543311937 -0.017999 0.005921 0.027363 -0.133408 0.020251 -0.000811 0.990854
193428.643410942 -0.013414 0.003845 0.031898 -0.131475 0.014913 -0.006070 0.991189
193428.743359937 -0.004131 0.002763 0.035603 -0.134890 0.000966 -0.013634 0.990766
193428.843308937 0.005076 0.005276 0.039177 -0.129952 -0.007133 -0.024037 0.991203
193428.943258290 0.015356 0.014428 0.041717 -0.119371 -0.019637 -0.033820 0.992079
193429.043352794 0.021224 0.027599 0.041800 -0.109210 -0.037384 -0.036915 0.992629
193429.143289719 0.018153 0.040778 0.036855 -0.099488 -0.039191 -0.027841 0.993877
193429.243225673 0.012519 0.048919 0.031710 -0.095535 -0.042253 -0.016338 0.994395
193429.343312027 0.001811 0.052640 0.025986 -0.093406 -0.037321 -0.000693 0.994928
193429.443248434 -0.008086 0.048594 0.023402 -0.093242 -0.025938 0.010554 0.995250
193429.543184869 -0.019573 0.039247 0.026564 -0.093369 -0.017305 0.018268 0.995314
193429.643121275 -0.025124 0.027108 0.033339 -0.092070 -0.014470 0.020574 0.995435
193429.743207663 -0.020747 0.018984 0.040319 -0.093260 -0.016515 0.009415 0.995460
193429.843144069 -0.018290 0.011769 0.051048 -0.090330 -0.000437 0.001288 0.995911
193429.943080442 -0.015127 0.006653 0.065213 -0.098015 -0.019136 -0.004069 0.994993
193430.043170948 -0.014516 0.000506 0.073838 -0.117660 -0.023811 -0.005492 0.992753
193430.143120166 -0.014514 -0.007075 0.078404 -0.126680 -0.013952 -0.007969 0.991814
193430.243072475 -0.015557 -0.016178 0.091819 -0.120851 -0.007837 -0.009183 0.992597
193430.343017937 -0.019462 -0.020939 0.105181 -0.113343 -0.018746 -0.010541 0.993323
193430.443116942 -0.021315 -0.021085 0.108902 -0.119859 -0.029845 -0.015871 0.992215
193430.543067418 -0.025536 -0.019501 0.115493 -0.109213 -0.037934 -0.012537 0.993215
193430.643014937 -0.030916 -0.020677 0.122568 -0.102426 -0.034204 -0.011343 0.994088
193430.743113942 -0.035256 -0.022585 0.126608 -0.104445 -0.029244 -0.014927 0.993989
193430.843062942 -0.036096 -0.019982 0.126050 -0.107935 -0.032564 -0.018256 0.993457
193430.943011966 -0.035717 -0.016258 0.121933 -0.117842 -0.028005 -0.024478 0.992336
