time px py pz qx qy qz qw
193597.461006424 -0.033961 0.014290 0.038462 0.545879 0.003440 0.129776 0.827746
193597.561105395 -0.036474 0.012630 0.030994 0.536052 0.022359 0.147028 0.830982
193597.661054391 -0.037723 0.008163 0.023695 0.533982 0.030721 0.153942 0.830796
193597.761003429 -0.034802 0.004448 0.018459 0.530049 0.042838 0.156866 0.832229
193597.861102395 -0.030250 -0.001698 0.014910 0.528637 0.047767 0.150732 0.833991
193597.961051395 -0.024326 -0.008267 0.009989 0.520534 0.049273 0.136349 0.841443
193598.061000424 -0.018151 -0.014845 0.002128 0.502235 0.048806 0.115180 0.855635
193598.160949390 -0.009921 -0.018537 -0.002855 0.484435 0.029074 0.082507 0.870442
193598.261048424 -0.002534 -0.018107 -0.002731 0.472885 0.002856 0.054429 0.879437
193598.360997610 0.001844 -0.015487 0.005520 0.477625 -0.016907 0.038470 0.877558
193598.460946424 0.004799 -0.009573 0.016846 0.483909 -0.028335 0.027608 0.874223
193598.561045424 0.000691 -0.000685 0.027755 0.494004 -0.034041 0.038497 0.867939
193598.660994424 -0.008804 0.006283 0.035882 0.512493 -0.034264 0.065367 0.855514
193598.760943424 -0.016042 0.009181 0.037410 0.524233 -0.031761 0.084488 0.846778
193598.860892395 -0.026836 0.006559 0.031359 0.521492 -0.023987 0.105803 0.846331
193598.960992305 -0.034294 0.003427 0.022040 0.512562 0.000581 0.127592 0.849117
193599.060940424 -0.032960 -0.000155 0.015437 0.513106 0.028387 0.130875 0.847814
193599.160889424 -0.029976 -0.005788 0.008689 0.506796 0.043643 0.130186 0.851061
193599.260988562 -0.025141 -0.011958 0.001446 0.491317 0.046785 0.115930 0.861962
193599.360937395 -0.020395 -0.017411 -0.003270 0.476465 0.035446 0.094455 0.873386
193599.460886424 -0.014235 -0.020795 -0.006520 0.459090 0.012763 0.062890 0.886069
193599.560835366 -0.003830 -0.019403 -0.006270 0.461099 -0.013068 0.031021 0.886710
193599.660934424 0.004954 -0.014290 -0.002362 0.466226 -0.025705 0.012006 0.884211
193599.760883424 0.008349 -0.007922 0.006962 0.478044 -0.035755 0.007804 0.877573
193599.860832424 0.003395 -0.000703 0.020507 0.499895 -0.049556 0.021834 0.864391
193599.960931390 -0.011433 0.004446 0.029851 0.519267 -0.047650 0.063998 0.850879
193600.060880424 -0.015924 0.009214 0.029517 0.521344 -0.050977 0.088498 0.847213
193600.160829424 -0.027237 0.006239 0.025244 0.526485 -0.053909 0.113129 0.840898
193600.260778395 -0.033817 0.003197 0.020532 0.527683 -0.047753 0.122348 0.839227
193600.360877428 -0.032664 0.000106 0.017841 0.526715 -0.031801 0.118995 0.841071
193600.460826423 -0.032493 -0.006467 0.015061 0.525471 -0.020342 0.118794 0.842232
193600.560775390 -0.031413 -0.010093 0.011283 0.512014 -0.005544 0.121506 0.850322
193600.660874362 -0.031050 -0.018736 0.009230 0.509405 0.000335 0.118856 0.852279
193600.760823423 -0.035215 -0.032761 0.006642 0.507405 0.003599 0.119302 0.853402
193600.860772423 -0.040134 -0.040194 0.001281 0.501409 -0.003182 0.117515 0.857187
193600.960721395 -0.045627 -0.043681 -0.003270 0.499646 -0.013191 0.116103 0.858312
193601.060820423 -0.049366 -0.051294 -0.006985 0.496747 -0.020296 0.107037 0.861030
193601.160769390 -0.047042 -0.060101 -0.010068 0.500029 -0.036827 0.071071 0.862301
193601.260718423 -0.044358 -0.064315 -0.013669 0.501476 -0.053148 0.059427 0.861490
193601.360817447 -0.037344 -0.060381 -0.016029 0.502890 -0.051253 0.049428 0.861413
193601.460766423 -0.025828 -0.048146 -0.015738 0.500904 -0.049951 0.032657 0.863443
193601.560715423 -0.015469 -0.032374 -0.012298 0.496781 -0.044603 0.023301 0.866416
193601.660664423 -0.008175 -0.015380 -0.004722 0.506357 -0.033276 0.018004 0.861493
193601.760763423 -0.003776 0.001951 0.006686 0.517411 -0.025181 0.015798 0.855220
193601.860712395 -0.005729 0.015149 0.022661 0.546954 -0.021642 0.029567 0.836360
193601.960661423 -0.013940 0.023137 0.033160 0.569501 -0.023145 0.042849 0.820547
193602.060760395 -0.026515 0.024002 0.035039 0.578918 -0.030459 0.061590 0.812486
193602.160709423 -0.041183 0.020207 0.028053 0.569204 -0.025857 0.089601 0.816891
193602.260658395 -0.045650 0.015254 0.018269 0.562335 -0.034898 0.094599 0.820739
193602.360757423 -0.046143 0.008396 0.007463 0.551420 -0.029395 0.099524 0.827748
193602.460706423 -0.044744 -0.006038 0.001673 0.548629 -0.016242 0.105261 0.829254
193602.560655395 -0.043952 -0.025006 0.000507 0.554227 -0.015378 0.099674 0.826233
193602.660604423 -0.046373 -0.036998 -0.001504 0.545794 -0.018288 0.098012 0.831966
193602.760703395 -0.047908 -0.042955 -0.003746 0.538700 -0.021524 0.099031 0.836380
193602.860652390 -0.047691 -0.049514 -0.006100 0.531884 -0.020668 0.100887 0.840532
193602.960601423 -0.047735 -0.057448 -0.007680 0.529610 -0.019142 0.098846 0.842245
193603.060700395 -0.048212 -0.064910 -0.009216 0.529115 -0.016528 0.094206 0.843142
193603.160649395 -0.047270 -0.068208 -0.008957 0.529400 -0.016015 0.080293 0.844412
193603.260598423 -0.044914 -0.064827 -0.008114 0.525479 -0.010591 0.067856 0.848030
193603.360547394 -0.048464 -0.064979 -0.006758 0.527167 -0.005050 0.067661 0.847049
193603.460646423 -0.051655 -0.068900 -0.003663 0.532284 -0.005401 0.064563 0.844083
193603.560595423 -0.053378 -0.070436 -0.001382 0.529875 0.001133 0.063516 0.845693
193603.660544423 -0.052989 -0.069562 0.001019 0.526886 0.002808 0.060374 0.847784
193603.760643394 -0.053796 -0.070369 0.001415 0.522270 0.007716 0.057102 0.850831
193603.860592394 -0.054145 -0.069250 0.001010 0.526926 0.003648 0.049782 0.848444
193603.960541423 -0.054419 -0.070710 0.001968 0.516607 -0.001141 0.041698 0.855206
193604.060490390 -0.054391 -0.070371 0.002874 0.512988 -0.000245 0.040851 0.857423
193604.160589394 -0.054797 -0.067646 0.003618 0.522399 -0.001563 0.036829 0.851904
193604.260538390 -0.054874 -0.064093 0.010403 0.522572 0.000146 0.041877 0.851566
193604.360487361 -0.055466 -0.059688 0.012465 0.537901 0.001728 0.042898 0.841914
193604.460586390 -0.055685 -0.057398 0.013303 0.548742 0.001508 0.045773 0.834736
193604.560535390 -0.056330 -0.054509 0.015749 0.563307 0.005853 0.047148 0.824881
193604.660484394 -0.056693 -0.054061 0.014492 0.571341 0.010030 0.045164 0.819408
193604.760433423 -0.056881 -0.053157 0.014377 0.570094 0.011059 0.044809 0.820282
193604.860532423 -0.057052 -0.052730 0.014447 0.570006 0.011238 0.044674 0.820348
193604.960481394 -0.057198 -0.053027 0.014753 0.569929 0.011154 0.044549 0.820410
193605.060430394 -0.057460 -0.052979 0.014708 0.570132 0.011125 0.044469 0.820273
193605.160529423 -0.057661 -0.052966 0.014738 0.570225 0.011084 0.044378 0.820214
193605.260478394 -0.057776 -0.052922 0.014829 0.570260 0.011093 0.044309 0.820194
193605.360428961 -0.057787 -0.053001 0.014984 0.570374 0.011156 0.044281 0.820115
193605.460376394 -0.057738 -0.053070 0.015112 0.570640 0.011389 0.044212 0.819930
193605.560475451 -0.057091 -0.056127 0.016485 0.553706 0.012259 0.046115 0.831344
193605.660424394 -0.056902 -0.059008 0.017840 0.537299 0.014843 0.047065 0.841947
193605.760373475 -0.057077 -0.056751 0.016643 0.554645 0.016195 0.044922 0.830716
193605.860472437 -0.056778 -0.057686 0.016742 0.552931 0.016046 0.045067 0.831852
193605.960421389 -0.055636 -0.063604 0.019623 0.520711 0.014219 0.047228 0.852307
193606.060370389 -0.055000 -0.065705 0.021258 0.505178 0.012554 0.048045 0.861585
193606.160319399 -0.055464 -0.062208 0.020109 0.528891 0.010975 0.045309 0.847408
193606.260418423 -0.055636 -0.062834 0.020448 0.529734 0.011126 0.044690 0.846913
193606.360367423 -0.055576 -0.063253 0.021088 0.529507 0.011002 0.045637 0.847006
193606.460316423 -0.055706 -0.063081 0.021457 0.531523 0.012435 0.046631 0.845668
193606.560415394 -0.055710 -0.063316 0.024271 0.526697 0.012008 0.045859 0.848730
193606.660364361 -0.055370 -0.064011 0.027958 0.514957 0.009362 0.045589 0.855952
193606.760313365 -0.055806 -0.060876 0.028399 0.529684 0.009600 0.045018 0.846945
193606.860262423 -0.056330 -0.057715 0.029400 0.545642 0.010034 0.045498 0.836722
193606.960361389 -0.056296 -0.057731 0.032597 0.539169 0.011991 0.047325 0.840782
193607.060310422 -0.056546 -0.056976 0.034113 0.537366 0.013607 0.048669 0.841834
193607.160259394 -0.056512 -0.056352 0.035376 0.537831 0.013064 0.048749 0.841541
193607.260358389 -0.056381 -0.055727 0.036702 0.537541 0.012840 0.049539 0.841683
193607.360307422 -0.056233 -0.055330 0.037182 0.539115 0.012340 0.049173 0.840705
193607.460256394 -0.056255 -0.054725 0.038985 0.537695 0.012474 0.049480 0.841594
193607.560205389 -0.056383 -0.053924 0.041018 0.537439 0.013172 0.050328 0.841696
193607.660304394 -0.056375 -0.053985 0.041188 0.538001 0.012831 0.050296 0.841345
193607.760253427 -0.056264 -0.053189 0.041928 0.538490 0.013609 0.050155 0.841028
193607.860202394 -0.056354 -0.051924 0.044013 0.538602 0.014824 0.050992 0.840885
193607.960301389 -0.056263 -0.051855 0.044556 0.538235 0.014355 0.050973 0.841129
193608.060250394 -0.056365 -0.051332 0.046811 0.534678 0.016111 0.052495 0.843270
193608.160199389 -0.056303 -0.051533 0.046033 0.532356 0.018777 0.051298 0.844756
193608.260148389 -0.056418 -0.051867 0.045044 0.531127 0.021170 0.049859 0.845559
193608.360247422 -0.056409 -0.051361 0.044014 0.528576 0.022577 0.049756 0.847126
193608.460196422 -0.056110 -0.051167 0.044087 0.528203 0.022689 0.049901 0.847347
193608.560145422 -0.056070 -0.051216 0.044169 0.527961 0.022639 0.049916 0.847498
193608.660244422 -0.056190 -0.051087 0.043951 0.527746 0.022614 0.049893 0.847634
